n_factors,epochs,lr,reg,decay_rate,RMSE,MAE,search_space,alpha
20.0,5.0,0.005,0.02,0.0,0.8546359640367494,0.6673738410126508,matrix_factorization,
20.0,5.0,0.005,0.02,0.01,0.9693454667421834,0.7720035625870457,matrix_factorization,
20.0,5.0,0.005,0.05,0.0,0.8547373079836827,0.6674313483952379,matrix_factorization,
20.0,5.0,0.005,0.05,0.01,0.9693001136616598,0.7718035134315127,matrix_factorization,
20.0,5.0,0.01,0.02,0.0,0.845623366961448,0.6590050697367357,matrix_factorization,
20.0,5.0,0.01,0.02,0.01,0.9653885075532116,0.7692570319456776,matrix_factorization,
20.0,5.0,0.01,0.05,0.0,0.845742493247273,0.6591414962021933,matrix_factorization,
20.0,5.0,0.01,0.05,0.01,0.965201250820014,0.7686598727480798,matrix_factorization,
20.0,10.0,0.005,0.02,0.0,0.8445351112798272,0.657632885970684,matrix_factorization,
20.0,10.0,0.005,0.02,0.01,0.964893702462614,0.7683270534084736,matrix_factorization,
20.0,10.0,0.005,0.05,0.0,0.8446534471465577,0.6577334430086795,matrix_factorization,
20.0,10.0,0.005,0.05,0.01,0.9646307139181681,0.7677227978605382,matrix_factorization,
20.0,10.0,0.01,0.02,0.0,0.8382031274219406,0.6518302360516932,matrix_factorization,
20.0,10.0,0.01,0.02,0.01,0.9605342161564216,0.7644577225242203,matrix_factorization,
20.0,10.0,0.01,0.05,0.0,0.838678956647142,0.652286794232317,matrix_factorization,
20.0,10.0,0.01,0.05,0.01,0.9600262068158966,0.7635088558222574,matrix_factorization,
40.0,5.0,0.005,0.02,0.0,0.8546639249522057,0.6673913228671433,matrix_factorization,
40.0,5.0,0.005,0.02,0.01,0.9694128016267473,0.7720324600411184,matrix_factorization,
40.0,5.0,0.005,0.05,0.0,0.8548543800940803,0.6675112787561679,matrix_factorization,
40.0,5.0,0.005,0.05,0.01,0.9692413981162318,0.7717262711743921,matrix_factorization,
40.0,5.0,0.01,0.02,0.0,0.8456052000678196,0.6590558707112418,matrix_factorization,
40.0,5.0,0.01,0.02,0.01,0.9653423231178969,0.7691863208849578,matrix_factorization,
40.0,5.0,0.01,0.05,0.0,0.845691116203237,0.6591273731104464,matrix_factorization,
40.0,5.0,0.01,0.05,0.01,0.9650498886216577,0.7685812032777642,matrix_factorization,
40.0,10.0,0.005,0.02,0.0,0.8445103731594418,0.6576267985714451,matrix_factorization,
40.0,10.0,0.005,0.02,0.01,0.9648663229445471,0.7683684330746515,matrix_factorization,
40.0,10.0,0.005,0.05,0.0,0.8446379450620544,0.6577392871299035,matrix_factorization,
40.0,10.0,0.005,0.05,0.01,0.9646463810786265,0.7677856053853891,matrix_factorization,
40.0,10.0,0.01,0.02,0.0,0.8382589389539954,0.6519653244706467,matrix_factorization,
40.0,10.0,0.01,0.02,0.01,0.9603881136592107,0.7642894007833185,matrix_factorization,
40.0,10.0,0.01,0.05,0.0,0.8386847726024006,0.6522891147043465,matrix_factorization,
40.0,10.0,0.01,0.05,0.01,0.9599640549342823,0.7635661988379557,matrix_factorization,
,,,,,2.4333233279395836,2.234501804416833,hybrid_alpha,0.1
,,,,,1.9667162393204016,1.7782653999986056,hybrid_alpha,0.3
,,,,,1.5249365696626653,1.3480247031603696,hybrid_alpha,0.5
,,,,,1.1372944846251716,0.9705794127706171,hybrid_alpha,0.7
,,,,,0.8786321049218916,0.7076872342798737,hybrid_alpha,0.9
